passing_yards,passing_epa,passing_cpoe,pacr,roof,surface,temp,wind,is_home,def_tackles_solo_y,def_tackles_with_assist_y,def_tackle_assists_y,def_tackles_for_loss_y,def_tackles_for_loss_yards_y,def_fumbles_forced_y,def_sacks_y,def_sack_yards_y,def_qb_hits_y,def_interceptions_y,def_interception_yards_y,def_pass_defended_y,def_tds_y,def_fumbles_y,def_safeties_y,comp_percent,avg_time_to_throw,aggressiveness,passer_rating,expected_completion_percentage,completion_percentage_above_expectation,cumulative_avg,def_recent_avg_allowed,def_5game_avg_allowed,def_trend,def_consistency
207,-4.481482616525894,-9.786830648131993,1.0615384615384615,closed,astroturf,,,1,34,2,10,5,22,0,3.0,25.0,6,0,0,2,0,0,0,0.5416666666666666,3.153875,16.666666666666664,97.0486111111111,57.03708333333333,-2.8704166666666637,298.0,298.0,298.0,0.0,79.883428127305
207,-2.823341653949246,3.784003240220687,0.828,dome,sportturf,,,1,43,3,31,7,35,2,3.0,21.0,5,0,0,3,0,0,0,0.7352941176470589,2.6721176470588226,17.647058823529413,118.1372549019608,69.20117647058824,4.328235294117647,150.0,150.0,150.0,0.0,79.883428127305
206,8.345343489918493,0.991099774837494,1.401360544217687,closed,fieldturf,,,0,34,2,22,5,8,0,0.0,0.0,0,1,0,4,0,0,0,0.7333333333333333,2.6513333333333335,6.666666666666667,111.25,73.98966666666666,-0.6563333333333361,73.0,73.0,73.0,0.0,57.982756057296896
230,14.99050014814068,13.996700229852095,1.7164179104477613,outdoors,grass,89.0,4.0,0,32,2,32,4,25,0,3.0,19.0,3,0,0,2,0,0,0,0.8260869565217391,2.5712608695652173,17.391304347826086,137.31884057971016,69.15260869565218,13.45608695652173,272.0,272.0,272.0,0.0,79.883428127305
200,-9.158630191520102,-7.198357805609703,0.7168458781362007,outdoors,grass,65.0,7.0,0,42,0,18,3,10,0,4.0,21.0,12,0,0,8,0,0,0,0.5714285714285714,2.838268292682927,26.190476190476193,85.41666666666666,60.23952380952381,-3.096666666666671,225.0,225.0,225.0,0.0,79.883428127305
135,-3.2441715903873147,-7.450161519504729,1.0227272727272727,dome,sportturf,,,0,38,2,32,6,31,1,3.0,27.0,5,0,0,1,0,1,0,0.6190476190476191,2.82047619047619,0.0,80.45634920634922,68.84857142857142,-6.943809523809513,210.0,210.0,210.0,0.0,79.883428127305
207,-0.9654794219241012,-5.639583170413971,0.6854304635761589,dome,fieldturf,,,0,45,1,25,5,30,1,4.0,29.0,4,1,0,5,0,0,0,0.6333333333333333,3.1629666666666667,16.666666666666664,91.94444444444444,66.46866666666666,-3.1353333333333353,107.5,107.5,107.5,0.0,113.84419177103415
158,-17.96655729044881,-11.110292020298186,0.626984126984127,dome,sportturf,,,1,29,0,28,5,29,1,6.0,38.0,11,2,0,4,0,0,0,0.5238095238095238,3.353285714285714,23.809523809523807,37.5,59.50142857142857,-7.120476190476182,167.0,167.0,167.0,0.0,79.883428127305
175,-6.7339741762074565,-4.793273537389694,0.813953488372093,outdoors,grass,83.0,3.0,1,41,5,23,6,33,1,5.0,32.0,8,0,0,4,0,0,0,0.5757575757575758,2.89169696969697,18.181818181818183,82.26010101010101,63.57848484848484,-6.002727272727263,188.0,188.0,188.0,0.0,79.883428127305
19,3.4221809962182306,36.51205698649088,3.8,outdoors,grass,82.0,3.0,0,41,3,27,7,22,1,2.0,11.0,9,1,61,5,0,0,0,1.0,,,,,,296.5,296.5,296.5,0.0,137.88582233137677
139,0.1934049493283964,4.534721103581515,1.219298245614035,outdoors,fieldturf,66.0,5.0,0,27,4,20,6,12,1,0.0,0.0,3,1,37,1,0,0,0,0.6956521739130435,2.4535217391304345,13.043478260869565,96.10507246376812,67.21217391304349,2.353043478260858,338.5,338.5,338.5,0.0,33.23401871576773
142,-8.7097985782642,-3.435839441689578,0.5590551181102362,outdoors,grass,79.0,10.0,1,30,4,28,5,24,0,2.0,17.0,10,1,0,3,0,0,0,0.5833333333333334,2.8086,13.88888888888889,55.55555555555557,57.91388888888888,0.4194444444444514,212.5,212.5,212.5,0.0,17.67766952966369
196,-2.479092506006727,-4.678381327539682,1.1666666666666667,outdoors,grass,73.0,9.0,0,40,2,32,2,3,0,1.0,0.0,7,1,0,4,0,0,0,0.5757575757575758,2.711121212121212,30.303030303030305,82.38636363636364,59.40121212121213,-1.825454545454555,187.5,187.5,187.5,0.0,0.7071067811865476
197,-7.886901567328738,7.483880179268973,1.2236024844720497,outdoors,grass,88.0,5.0,0,43,0,20,9,43,1,4.0,29.0,10,1,55,4,1,0,0,0.7222222222222222,2.6244571428571426,13.88888888888889,92.0138888888889,63.408611111111114,8.8136111111111,252.5,252.5,252.5,0.0,64.34671708797582
160,-14.818524984584656,-4.926895797252655,0.5633802816901409,outdoors,fieldturf,65.0,5.0,1,34,3,35,6,14,0,2.0,9.0,9,2,23,6,0,0,0,0.5625,2.85484375,18.75,43.75,62.954375000000006,-6.704375000000006,209.5,209.5,209.5,0.0,153.4421715174808
29,-3.043475183425471,-8.271948780332293,2.9,outdoors,grass,83.0,5.0,0,41,2,22,2,7,1,0.0,0.0,2,2,65,3,1,1,0,0.7142857142857143,,,,,,142.33333333333334,142.33333333333334,142.33333333333334,0.0,100.37097854127623
289,12.24070766654052,11.681264307763842,0.9475409836065574,outdoors,grass,72.0,6.0,0,41,2,26,8,35,0,5.0,28.0,9,0,0,4,0,0,0,0.6551724137931034,3.815896551724138,13.79310344827586,132.6867816091954,64.61689655172414,0.9003448275862098,230.0,230.0,230.0,0.0,87.68124086713189
207,10.782450092576104,14.572758972644806,1.3101265822784811,outdoors,grass,72.0,6.0,1,37,4,24,6,15,1,1.0,8.0,3,0,0,2,0,0,0,0.7142857142857143,2.4771500000000004,4.761904761904762,118.5515873015873,66.10142857142858,5.327142857142846,264.5,264.5,264.5,0.0,31.81980515339464
173,9.443549821281032,3.8360655307769775,0.9558011049723756,dome,sportturf,,,1,40,1,31,3,10,1,3.0,19.0,5,0,0,1,0,0,0,0.7,2.43055,15.0,129.79166666666666,63.653000000000006,6.346999999999994,244.66666666666666,244.66666666666666,244.66666666666666,0.0,62.78800310038004
